product_id,product_url,name,price,shop_name,date
29706884,https://www.sendo.vn/nuoc-rua-binh-nuk-500ml-29706884.html,Nước rửa bình Nuk 500ml,75000,cty8,2020-06-12
29651402,https://www.sendo.vn/ta-quan-goodry-l54-xl48-29651402.html,tã quần goodry L54 XL48,155000,cty8,2020-06-12
29651270,https://www.sendo.vn/ta-dan-unidry-s48-m42-l38-xl34-29651270.html,tã dán unidry S48 M42 L38 XL34,102000,cty8,2020-06-12
29501006,https://www.sendo.vn/sua-metacare-3-900g-29501006.html,Sữa Metacare 3 900g,223000,Milky Mart,2020-06-12
29903722,https://www.sendo.vn/sua-bot-care-100-900gr-29903722.html,Sữa bột Care 100+ 900gr,260000,Milky Mart,2020-06-12
30849839,https://www.sendo.vn/sua-bot-metacare-2-900gr-date-moi-nhat-tu-cong-ty-30849839.html,Sữa bột Metacare 2 900gr (date mới nhất từ công ty),290000,Milky Mart,2020-06-12
30141019,https://www.sendo.vn/binh-nuoc-cho-be-30141019.html,bình nước cho bé,70000,Tổng kho gia dụng Tuấn Liên,2020-06-12
30840145,https://www.sendo.vn/quay-bong-quay-cui-khung-inox-cho-be-co-cua-chui-tang-kem-bong-30840145.html,Quây Bóng Quây Cũi Khung Inox Cho Bé - Có Cửa Chui Tặng Kèm Bóng,280000,Dũng Chung Shop,2020-06-12
25815675,https://www.sendo.vn/sua-hikid-de-nui-han-quoc-mau-moi-25815675.html,sữa hikid dê núi hàn quốc mẫu mới,518000,HoangDan,2020-06-12
30821736,https://www.sendo.vn/be-boi-thanh-cao-trong-suot-80-80-80-kem-phao-co-30821736.html,BỂ BƠI THÀNH CAO TRONG SUỐT 80*80*80 KÈM PHAO CỔ,382000,thanhhoashop,2020-06-12
30869429,https://www.sendo.vn/vitamin-e-do-cua-nga-mau-moi-lo-30-vien-30869429.html,Vitamin E đỏ của Nga mẫu mới lọ 30 viên,63000,Quickbuy,2020-06-12
28101454,https://www.sendo.vn/combo-2-giay-cuon-kleenex-lo-hoi-190-to-x-10-cuon-x-3-lop-28101454.html,Combo 2 Giấy cuộn Kleenex lô hội 190 tờ x 10 cuộn x 3 lớp,183000,Kimberly Clark Chính Hãng,2020-06-12
30859605,https://www.sendo.vn/may-ham-sua-va-thuc-an-4-chuc-nang-fb3002sl-30859605.html,MÁY HÂM SỮA VÀ THỨC ĂN 4 CHỨC NĂNG FB3002sl,219880,thanhhoashop,2020-06-12
30870793,https://www.sendo.vn/ta-quan-caryn-mong-nhe-l7-m8-mau-moi-giao-dien-moi-30870793.html,Tã quần Caryn mỏng nhẹ L7 /M8- Mẫu Mới Giao Diện Mới,83000,Quynhnhushop2018,2020-06-12
30871447,https://www.sendo.vn/mau-moi-thung-24-hop-sua-tuoi-nguyen-kem-devondale-uc-200ml-30871447.html,Mẫu mới  THÙNG 24 HỘP SỮA TƯƠI NGUYÊN KEM DEVONDALE ÚC 200ML,244000,thegioisua.us,2020-06-12
30372489,https://www.sendo.vn/tang-khung-long-combo-4-goi-khan-giay-uot-cho-tre-so-sinh-huggies-khong-mui-goi-64-to-30372489.html,"[TẶNG KHỦNG LONG] Combo 4 Gói Khăn giấy ướt cho trẻ sơ sinh HUGGIES không mùi, gói 64 tờ",149000,Kimberly Clark Chính Hãng,2020-06-12
29993316,https://www.sendo.vn/bim-youli-gold-sieu-mong-29993316.html,Bỉm Youli Gold siêu mỏng,208000,KHO BỈM NỘI ĐỊA GIÁ TỐT,2020-06-12
30372121,https://www.sendo.vn/tang-chuot-bong-khong-lo-combo-2-ta-dan-huggies-dry-super-jumbo-m76-l68-xl62-xxl56-30372121.html,[TẶNG CHUỘT BÔNG KHỔNG LỒ]  Combo 2 Tã dán HUGGIES DRY SUPER JUMBO M76 - L68 - XL62 -XXL56,549000,Kimberly Clark Chính Hãng,2020-06-12
28091182,https://www.sendo.vn/xit-chong-muoi-cho-be-skin-va-pe-nhat-ban-200ml-28091182.html,Xịt chống muỗi cho bé Skin-Va pe Nhật Bản 200ml,159000,Surishop-hangxachtay,2020-06-12
28521485,https://www.sendo.vn/bim-distocat-bim-meo-28521485.html,Bỉm Distocat ( Bỉm Mèo),180000,KHO BỈM NỘI ĐỊA GIÁ TỐT,2020-06-12
12986471,https://www.sendo.vn/dha-bau-bioisland-60-vien-12986471.html,DHA bầu Bioisland 60 Viên,390000,Chợ Việt Úc,2020-06-12
25486853,https://www.sendo.vn/nem-tham-nuoc-70x75cm-goi-nuoc-cho-be-yeu-25486853.html,Nệm Thấm Nước 70x75cm + GỐI NƯỚC cho bé yêu,149500,kykytongkhosi,2020-06-12
28521430,https://www.sendo.vn/bim-nateen-nhap-khau-bi-28521430.html,Bỉm Nateen Nhập Khẩu Bỉ,250000,KHO BỈM NỘI ĐỊA GIÁ TỐT,2020-06-12
28006990,https://www.sendo.vn/bim-yiying-hoi-tho-bong-noi-dia-trung-s72m60l52xl44xxl40xxxl36-28006990.html,Bỉm Yiying Hơi thở bông nội địa trung S72/M60/L52/XL44/XXL40/XXXL36,249000,KHO BỈM NỘI ĐỊA GIÁ TỐT,2020-06-12
30275080,https://www.sendo.vn/ao-lien-quan-cho-be-gai-30275080.html,Áo liền quần cho bé gái,25000,Cao Gia,2020-06-12
27584135,https://www.sendo.vn/tang-8-ta-quan-bobby-l54-8-27584135.html,Tặng 8_tã quần bobby l54+8,270000,Vũ Lê Quỳnh Tã Bỉm Trẻ Em,2020-06-12
30866173,https://www.sendo.vn/sua-tam-tao-bot-d-nee-kids-huong-white-choco-smoothie-400ml-mau-tim-30866173.html,Sữa Tắm Tạo Bọt D-nee Kids Hương White Choco Smoothie  400ml Màu Tím,55000,mypham phuonganh,2020-06-12
30866028,https://www.sendo.vn/sua-tam-em-be-d-nee-kids-huong-my-melody-mau-hong-400ml-30866028.html,Sữa Tắm Em Bé D- nee Kids Hương My Melody Màu Hồng 400ml,55000,mypham phuonganh,2020-06-12
29951594,https://www.sendo.vn/ao-lien-quan-cho-be-trai-6-12-thang-29951594.html,áo liền quần cho bé trai 6 - 12 tháng,22000,Cao Gia,2020-06-12
30794430,https://www.sendo.vn/tinh-dau-hung-chanh-miri-kids-30794430.html,Tinh Dầu Húng Chanh Miri kids,180000,tinhdautoi,2020-06-12
29278257,https://www.sendo.vn/chan-cotton-lua-aden-size-1m-x-1m2-29278257.html,Chăn cotton lụa Aden size 1m x 1m2,139000,RonTMTshop,2020-06-12
29277774,https://www.sendo.vn/chan-xo-6-lop-bo-vien-29277774.html,Chăn xô 6 lớp bo viền,139000,RonTMTshop,2020-06-12
25801384,https://www.sendo.vn/bim-moony-noi-dia-nhat-ban-moony-noi-dia-nhat-noi-dia-nhat-ban-25801384.html,BỈm Moony Nội Địa Nhật Bản - Moony Nội Địa Nhật - Nội địa nhật bản,400000,Moony Yubest Goodpartner,2020-06-12
26899050,https://www.sendo.vn/combo-3-ta-bim-cao-cap-moony-natural-chinh-hang-nhat-ban-hoan-tien-gap-3-neu-phat-hien-hang-gia-26899050.html,[COMBO 3] Tã Bỉm Cao Cấp Moony Natural Chính Hãng Nhật Bản - Hoàn Tiền Gấp 3 Nếu Phát Hiện Hàng Giả ,1218000,SuTi & Mom,2020-06-12
21658758,https://www.sendo.vn/tinh-dau-tram-hue-1-chai-100-ml-co-san-21658758.html,Tinh dầu tràm Huế 1 chai 100 ml có sẵn,45000,BlueSkyShop,2020-06-12
20666488,https://www.sendo.vn/vien-uong-ho-tro-xuong-khop-glucosamine-375-vien-hcl-1500mg-kirkland-20666488.html,Viên uống Hỗ trợ xương khớp Glucosamine 375 Viên HCL 1500mg Kirkland,559000,Bách Hóa Ngoại,2020-06-12
9700952,https://www.sendo.vn/kem-duong-da-chong-ne-hieu-ong-gia-tuyet-mopo3ko-nga-9700952.html,Kem dưỡng da chống nẻ hiệu ông già tuyết MOPO3KO NGA,65000,Lavender hàng Nga,2020-06-12
29072998,https://www.sendo.vn/sua-de-goatlac-gold-1-800g-s-29072998.html,Sữa dê Goatlac Gold 1+ 800g - S,598000,VitaDairy Official Store,2020-06-12
28417947,https://www.sendo.vn/ta-quan-pampers-goi-dai-m60-l54-28417947.html,Tã quần Pampers gói đại M60/ L54,210000,Mẹ Tini,2020-06-12
19820604,https://www.sendo.vn/goi-chong-bep-dau-tre-em-19820604.html,GỐI CHỐNG BẸP ĐẦU TRẺ EM,150000,ankhang91,2020-06-12
5372648,https://www.sendo.vn/ghe-tap-ngoi-3-giai-doan-summer-infant-13290-mau-xanh-5372648.html,Ghế tập ngồi 3 giai đoạn Summer Infant 13290 màu xanh,1399000,Chăm sóc bé sơ sinh,2020-06-12
21510009,https://www.sendo.vn/ghe-ngoi-an-cao-mastela-0619-mstl-1015-t13-mau-be-hinh-cao-21510009.html,Ghế ngồi ăn cao Mastela 0619-MSTL-1015-T13 màu be hình cáo,1450000,Chăm sóc bé sơ sinh,2020-06-12
26224423,https://www.sendo.vn/khan-vai-kho-da-nang-mother-k-han-quoc-160ckm13268-26224423.html,KHĂN VẢI KHÔ ĐA NĂNG MOTHER-K HÀN QUỐC 160cKM13268,249000,Chăm sóc bé sơ sinh,2020-06-12
28813437,https://www.sendo.vn/combo-10-mung-ngu-vong-cho-be-28813437.html,combo 10 mùng ngủ võng cho bé,280000,gia dụng cần thơ 999,2020-06-12
28836361,https://www.sendo.vn/quan-ao-mac-nha-me-bau-sau-sinh-mua-he-28836361.html,Quần áo mặc nhà mẹ bầu sau sinh mùa hè,125000,BestKidSale,2020-06-12
28813428,https://www.sendo.vn/bo-10-quan-lot-cho-cac-me-bau-gia-si-zalo-0838838522-28813428.html,Bộ 10 quần lót cho các mẹ bầu GIÁ SỈ ZALO: 0838838522,180000,SIÊU THỊ TỔNG HƠP SỈ LẺ,2020-06-12
28724676,https://www.sendo.vn/ghe-an-dam-cho-be-chinh-hang-3in1-28724676.html,ghế ăn dặm cho bé chính hãng 3in1,1080000,SuSu Kids kube,2020-06-12
28836211,https://www.sendo.vn/goi-10-khan-sua-3-lop-kim-ngan-28836211.html,Gói 10 khăn sữa 3 lớp Kim Ngân,30500,shopmemeopeo,2020-06-12
28836132,https://www.sendo.vn/do-bau-cho-con-bu-sau-sinh-28836132.html,Đồ bầu cho con bú sau sinh,75000,BestKidSale,2020-06-12
28779706,https://www.sendo.vn/set-an-dam-3-khuon-va-yen-mach-28779706.html,Sét ăn dặm 3 khuôn và yến mạch,100000,Shop Dụng Cụ Ăn Dặm,2020-06-12
28831028,https://www.sendo.vn/khan-xo-tam-3-lop-kim-ngan-28831028.html,Khăn xô tắm 3 lớp Kim Ngân,32000,shopmemeopeo,2020-06-12
28515517,https://www.sendo.vn/bo-bau-mac-truoc-va-sau-sinh-dep-28515517.html,Bộ bầu mặc trước và sau sinh đẹp ,119000,bestsalekids,2020-06-12
28831245,https://www.sendo.vn/khan-choang-choang-u-choang-be-cotton-cao-cap-carter-28831245.html,KHĂN CHOÀNG/ CHOÀNG Ủ/ CHOÀNG BẾ COTTON CAO CẤP CARTER,115000,shopmemeopeo,2020-06-12
28829908,https://www.sendo.vn/ghe-rung-cho-be-28829908.html,ghế rung cho bé,330000,SIÊU THỊ GIA ĐÌNH 1,2020-06-12
28513326,https://www.sendo.vn/xe-day-doi-chinh-hang-cho-me-va-be-q-28513326.html,xe đẩy đôi chính Hãng cho mẹ và bé q,2368000,SuSu Kids kube,2020-06-12
30480961,https://www.sendo.vn/coc-gau-silicon-han-quoc-co-tay-cam-duoc-kiem-hang-duoc-kiem-hang-duoc-kiem-hang-duoc-kiem-hang-30480961.html,Cốc gấu silicon Hàn Quốc có tay cầm - Được Kiểm Hàng - Được Kiểm Hàng - Được Kiểm Hàng - Được Kiểm Hàng,462000,Yêu Thương Shop,2020-06-12
28512582,https://www.sendo.vn/may-hut-sua-bang-tay-ban-buon-may-hut-sua-loai-day-bang-tay-di-kem-voi-binh-sua-sua-may-hut-sua-bang-tay-28512582.html,Máy hút sữa bằng tay Bán buôn máy hút sữa loại đẩy bằng tay Đi kèm với bình sữa Sữa Máy hút sữa bằng tay,208000,SuSu Kids kube,2020-06-12
30480930,https://www.sendo.vn/ghe-hoi-richell-ghe-tap-ngoi-duoc-kiem-hang-duoc-kiem-hang-duoc-kiem-hang-duoc-kiem-hang-30480930.html,Ghế hơi Richell - ghế tập ngồi - Được Kiểm Hàng - Được Kiểm Hàng - Được Kiểm Hàng - Được Kiểm Hàng,840000,Yêu Thương Shop,2020-06-12
30480916,https://www.sendo.vn/ghe-bo-viet-nhat-cho-be-di-ve-sinh-30480916.html,GHẾ BÔ VIỆT NHẬT CHO BÉ ĐI VỆ SINH,109000,Gia Dụng Thông Minh MT01,2020-06-12
30480819,https://www.sendo.vn/ta-quan-goon-30480819.html,Tả quần GOON,315000,KidHouse,2020-06-12
30480656,https://www.sendo.vn/bat-an-sau-long-combi-duoc-kiem-hang-duoc-kiem-hang-duoc-kiem-hang-duoc-kiem-hang-30480656.html,Bát ăn sâu lòng Combi - Được Kiểm Hàng - Được Kiểm Hàng - Được Kiểm Hàng - Được Kiểm Hàng,305200,Yêu Thương Shop,2020-06-12
